source_capture_id,source_id,restaurant_id,captured_at,captured_by,capture_method,source_url,source_final_url,source_title,source_published_at,source_observed_at,evidence_type,extracted_text_or_confirmation_note,content_hash,screenshot_path,archive_url_or_path,metadata_json,capture_status,notes,fixture_data_class,is_live_data,prototype_notice
cap-south-front-tavern-2026-06-01,src-south-front-tavern-primary,south-front-tavern,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.southfronttavern.com/,https://www.southfronttavern.com/,South Front Tavern primary source,,2026-06-01,manual_note,Official site identifies Wilmington location and weekly food-special signals.,,app/public/evidence/source-screenshots/src-south-front-tavern-primary.png,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review. Screenshot proof captured for app evidence preview.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-caprice-bistro-2026-06-01,src-caprice-bistro-primary,caprice-bistro,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.capricebistro.com/,https://www.capricebistro.com/,Caprice Bistro primary source,,2026-06-01,manual_note,Official site has weekly specials / petit plates source pages.,,app/public/evidence/source-screenshots/src-caprice-bistro-primary.png,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review. Screenshot proof captured for app evidence preview.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-rx-chicken-oysters-2026-06-01,src-rx-chicken-oysters-primary,rx-chicken-oysters,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.rxwilmington.com/,https://www.rxwilmington.com/,Rx Chicken & Oysters primary source,,2026-06-01,manual_note,Official site identifies Wilmington location and specials/menu signals.,,app/public/evidence/source-screenshots/src-rx-chicken-oysters-primary.png,fixtures/prototype/evidence/verified-static/src-rx-chicken-oysters-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review. Screenshot proof captured for app evidence preview.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-cornelias-2026-06-01,src-cornelias-primary,cornelias,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://corneliasrestaurant.com/,https://corneliasrestaurant.com/,Cornelia's primary source,,2026-06-01,manual_note,Official menu page includes weekly-specials signal; public access should be checked because restaurant is at The Davis Community.,,,fixtures/prototype/evidence/verified-static/src-cornelias-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-the-cardinal-2026-06-01,src-the-cardinal-primary,the-cardinal,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://thecardinalilm.com/,https://thecardinalilm.com/,The Cardinal primary source,,2026-06-01,manual_note,Official site identifies Wilmington restaurant and weekly specials/events signals.,,app/public/evidence/source-screenshots/src-the-cardinal-primary.png,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review. Screenshot proof captured for app evidence preview.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-kornerstone-bistro-2026-06-01,src-kornerstone-bistro-primary,kornerstone-bistro,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.kornerstonebistro.com/,https://www.kornerstonebistro.com/,Kornerstone Bistro primary source,,2026-06-01,manual_note,Official site lists Wilmington address and weekly specials; alcohol-only items must be suppressed.,,app/public/evidence/source-screenshots/src-kornerstone-bistro-primary.png,fixtures/prototype/evidence/verified-static/src-kornerstone-bistro-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review. Screenshot proof captured for app evidence preview.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-roko-italian-cuisine-2026-06-01,src-roko-italian-cuisine-primary,roko-italian-cuisine,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.rokoitalian.com/,https://www.rokoitalian.com/,Roko Italian Cuisine primary source,,2026-06-01,manual_note,Official weekly specials page exists; several signals may be alcohol-focused and need food-only review.,,,fixtures/prototype/evidence/verified-static/src-roko-italian-cuisine-primary.md,{},captured,Manual seed note from official or official-linked source research. Exact public deal claims require later review.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-winnies-tavern-2026-06-01,src-winnies-tavern-primary,winnies-tavern,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.clover.com/online-ordering/winnies-tavern-wilmington,https://www.clover.com/online-ordering/winnies-tavern-wilmington,Winnie's Tavern partner source,,2026-06-01,manual_note,Official site and official-linked ordering source are useful; partner page should be manual/permission-aware.,,,fixtures/prototype/evidence/verified-static/src-winnies-tavern-primary.md,{},captured,Manual seed note from official-linked partner source research. Partner-platform collection requires terms/permission review; no deal publication implied.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-the-half-downtown-2026-06-01,src-the-half-downtown-primary,the-half-downtown,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://www.toasttab.com/the-half-downtown-wilmington-510-1-2-red-cross-street/v3,https://www.toasttab.com/the-half-downtown-wilmington-510-1-2-red-cross-street/v3,The Half - Downtown partner source,,2026-06-01,manual_note,Official site links Toast source; multi-location Wilmington business should use location-specific source rows.,,,fixtures/prototype/evidence/verified-static/src-the-half-downtown-primary.md,{},captured,Manual seed note from official-linked partner source research. Partner-platform collection requires terms/permission review; no deal publication implied.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cap-c-street-mexican-grill-2026-06-01,src-c-street-mexican-grill-primary,c-street-mexican-grill,2026-06-01T12:00:00-04:00,codex_research,manual_web_review,https://direct.chownow.com/order/28956/locations/42738,https://direct.chownow.com/order/28956/locations/42738,C-Street Mexican Grill partner source,,2026-06-01,manual_note,Official source and partner ordering source identified; address should be rechecked because some third-party listings differ.,,,fixtures/prototype/evidence/verified-static/src-c-street-mexican-grill-primary.md,{},captured,Manual seed note from official-linked partner source research. Partner-platform collection requires terms/permission review; no deal publication implied.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
