restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes,fixture_data_class,is_live_data,prototype_notice
south-front-tavern,South Front Tavern,Wilmington,NC,South Front District,"1540 S. 2nd Street #110, Wilmington, NC 28401",910-782-8989,https://www.southfronttavern.com/,,,,,American,weekly-specials;bar-bites;burgers,active,2026-06-01,Official site identifies Wilmington location and weekly food-special signals.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
caprice-bistro,Caprice Bistro,Wilmington,NC,Downtown,"10 Market St, Wilmington, NC 28401",910-815-0810,https://www.capricebistro.com/,,,,,French-Belgian,weekly-specials;petit-plates,active,2026-06-01,Official site has weekly specials / petit plates source pages.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
rx-chicken-oysters,Rx Chicken & Oysters,Wilmington,NC,Castle Street / Downtown,"421 Castle Street, Wilmington, NC 28401",910-399-3080,https://www.rxwilmington.com/,,,,,Southern;Seafood,oysters;weekly-specials,active,2026-06-01,Official site identifies Wilmington location and specials/menu signals.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
cornelias,Cornelia's,Wilmington,NC,Porters Neck / Davis Community,"980 Roundhouse Circle, Wilmington, NC 28411",,https://corneliasrestaurant.com/,,,,,American,weekly-specials;wings;burgers,active,2026-06-01,Official menu page includes weekly-specials signal; public access should be checked because restaurant is at The Davis Community.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
the-cardinal,The Cardinal,Wilmington,NC,Masonboro,"3315 Masonboro Loop Rd #110, Wilmington, NC 28409",,https://thecardinalilm.com/,,,,,American,weekly-specials;events,active,2026-06-01,Official site identifies Wilmington restaurant and weekly specials/events signals.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
kornerstone-bistro,Kornerstone Bistro,Wilmington,NC,Ogden / North Market,"8262 Market Street, Wilmington, NC 28411",910-686-2296,https://www.kornerstonebistro.com/,,,,,Italian;Mediterranean,kids-eat-free;mussels;weekly-specials,active,2026-06-01,Official site lists Wilmington address and weekly specials; alcohol-only items must be suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
roko-italian-cuisine,Roko Italian Cuisine,Wilmington,NC,Mayfaire / Military Cutoff,"6801-105 Parker Farm Dr, Wilmington, NC 28405",,https://www.rokoitalian.com/,,,,,Italian,weekly-specials,active,2026-06-01,Official weekly specials page exists; several signals may be alcohol-focused and need food-only review.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
winnies-tavern,Winnie's Tavern,Wilmington,NC,South Wilmington,"1895 Burnett Blvd, Wilmington, NC 28401",,https://www.wilmingtonsbestburger.com/,,,,https://www.clover.com/online-ordering/winnies-tavern-wilmington,Burgers;American,ordering-page;burger-menu,active,2026-06-01,Official site and official-linked ordering source are useful; partner page should be manual/permission-aware.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
the-half-downtown,The Half - Downtown,Wilmington,NC,Downtown / Brooklyn Arts,"510 1/2 Red Cross St, Wilmington, NC 28401",,https://www.thehalfbev.com/,,,,https://www.toasttab.com/the-half-downtown-wilmington-510-1-2-red-cross-street/v3,Sandwiches,ordering-page;multi-location,active,2026-06-01,Official site links Toast source; multi-location Wilmington business should use location-specific source rows.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
c-street-mexican-grill,C-Street Mexican Grill,Wilmington,NC,Shipyard / Long Leaf Mall,"4110 Shipyard Blvd N, Wilmington, NC 28403",,https://www.cstreetmex.com/,,,,https://direct.chownow.com/order/28956/locations/42738,Mexican,ordering-page;tacos,active,2026-06-01,Official source and partner ordering source identified; address should be rechecked because some third-party listings differ.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
beat-street,Beat Street,Wilmington,NC,Cargo District,"348 Hutchison Lane, Wilmington, NC 28401",,https://www.beatstreetilm.com/,,,,,American;Tacos;Burgers,taco-special;burger-special,active,2026-06-01,Official site identifies Cargo District/Wilmington and listed food-special signals in research.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
block-taco,Block Taco,Wilmington,NC,South Front / Greenfield,"120 Greenfield St #B, Wilmington, NC 28401",910-399-2796,https://blocktaco.com/,,,,,Tacos,taco-specials;brunch-special,active,2026-06-01,Official site identifies Wilmington location and current specials signals; avoid unsupported award/best claims.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
hells-kitchen,Hell's Kitchen,Wilmington,NC,Downtown,"118 Princess St, Wilmington, NC 28401",910-763-4133,https://hellskitchenbar.com/,,,,,American;Bar Food,daily-specials;burgers;wings,active,2026-06-01,Official site reported in research with daily food-special signals; not related to Gordon Ramsay chain.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
castle-street-kitchen,Castle Street Kitchen,Wilmington,NC,Castle Street / Downtown,"509 Castle St, Wilmington, NC 28401",,https://www.castlestkitchen.com/,,,,,American;Brunch,weekly-feature;brunch;menu,active,2026-06-01,Official site identifies downtown Wilmington and rotating food/menu signals.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
fortunate-glass,Fortunate Glass,Wilmington,NC,Downtown,"29 S Front St, Wilmington, NC 28401",,https://www.fortunateglass.com/,,,,,Tapas;Wine Bar,weekly-food-specials;tapas,active,2026-06-01,Official site identifies Wilmington location and food/tapas source; alcohol-only items must be suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
front-street-brewery,Front Street Brewery,Wilmington,NC,Downtown,"9 N Front St, Wilmington, NC 28401",,https://www.frontstreetbrewery.com/,,,,https://order.toasttab.com/online/front-street-brewery-wilmington-9-n-front-st,Brewery;American,menu;wings;burgers,active,2026-06-01,Official site identifies Wilmington location; official-linked Toast menu provides food/menu evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
rooster-and-the-crow,Rooster & The Crow,Wilmington,NC,Downtown / Riverwalk,"225 S Water St, Wilmington, NC 28401",,https://roosterandthecrow.com/,,,,,Southern;Chicken,menu;wings;burgers;kids,active,2026-06-01,Official site/menu identifies Wilmington location and food menu source.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
tacobaby,Tacobaby,Wilmington,NC,Downtown,"125 Grace Street, Wilmington, NC 28401",910-399-5629,https://tacobabyusa.com/,,,,,Tacos,daily-specials;lunch-special,active,2026-06-01,Official homepage source has daily/lunch-special signals per research; exact claims need capture before publication.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
